table,seqNo,colCount
B00001,1,1
B00002,1,1
B01001,2,49
B01001A,2,31
B01001B,2,31
B01001C,2,31
B01001D,2,31
B01001E,2,31
B01001F,2,31
B01001G,3,31
B01001H,3,31
B01001I,3,31
B01002,3,3
B01002A,3,3
B01002B,3,3
B01002C,3,3
B01002D,3,3
B01002E,3,3
B01002F,3,3
B01002G,3,3
B01002H,3,3
B01002I,3,3
B01003,3,1
B02001,4,10
B02005,4,46
B02006,4,19
B02007,4,15
B02008,4,1
B02009,4,1
B02010,4,1
B02011,4,1
B02012,4,1
B02013,4,1
C02003,4,19
B03001,5,31
B03002,5,21
B03003,5,3
B04001,6,109
B04002,6,109
B04003,7,108
B04004,7,108
B04005,8,108
B04006,8,109
B04007,8,7
B05001,9,6
B05001PR,9,6
B05002,9,15
B05003,9,23
B05003A,9,23
B05003B,9,23
B05003C,9,23
B05003D,9,23
B05003E,9,23
B05003F,9,23
B05003G,9,23
B05003H,9,23
B05003I,10,23
B05004,10,15
B05005,10,21
B05005PR,10,21
B05006,10,160
B05006PR,11,46
B05007,11,94
B05008,11,69
B05009,12,37
B05010,12,25
B05011,12,11
B05012,12,3
B05012PR,12,3
B06001,13,60
B06001PR,13,60
B06002,13,5
B06002PR,13,5
B06003,13,15
B06003PR,13,15
B06004A,13,5
B06004APR,13,5
B06004B,13,5
B06004BPR,13,5
B06004C,13,5
B06004CPR,13,5
B06004D,13,5
B06004DPR,13,5
B06004E,13,5
B06004EPR,13,5
B06004F,13,5
B06004FPR,13,5
B06004G,13,5
B06004GPR,13,5
B06004H,13,5
B06004HPR,13,5
B06004I,13,5
B06004IPR,14,5
B06007,14,40
B06007PR,14,40
B06008,14,30
B06008PR,14,30
B06009,14,30
B06009PR,14,30
B06010,15,55
B06010PR,15,55
B06011,15,5
B06011PR,15,5
B06012,15,20
B06012PR,15,20
B07001,16,96
B07001PR,16,96
B07002,16,6
B07002PR,16,6
B07003,16,18
B07003PR,16,18
B07004A,17,6
B07004APR,17,6
B07004B,17,6
B07004BPR,17,6
B07004C,17,6
B07004CPR,17,6
B07004D,17,6
B07004DPR,17,6
B07004E,17,6
B07004EPR,17,6
B07004F,17,6
B07004FPR,17,6
B07004G,17,6
B07004GPR,17,6
B07004H,17,6
B07004HPR,17,6
B07004I,17,6
B07004IPR,17,6
B07007,17,30
B07007PR,17,30
B07008,17,36
B07008PR,17,36
B07009,18,36
B07009PR,18,36
B07010,18,66
B07010PR,18,66
B07011,18,6
B07011PR,18,6
B07012,18,24
B07012PR,19,24
B07013,19,18
B07013PR,19,18
B07101,19,60
B07201,19,14
B07201PR,19,22
B07202,19,14
B07202PR,19,11
B07203,19,11
B07203PR,19,8
B07204,19,19
B07204PR,19,17
B07401,20,80
B07401PR,20,80
B07402,20,5
B07402PR,20,5
B07403,20,15
B07403PR,20,15
B07404A,20,5
B07404B,20,5
B07404C,20,5
B07404D,20,5
B07404E,20,5
B07404F,20,5
B07404G,20,5
B07404H,20,5
B07404I,20,5
B07404APR,21,5
B07404BPR,21,5
B07404CPR,21,5
B07404DPR,21,5
B07404EPR,21,5
B07404FPR,21,5
B07404GPR,21,5
B07404HPR,21,5
B07404IPR,21,5
B07407,21,25
B07407PR,21,25
B07408,21,30
B07408PR,21,30
B07409,21,30
B07409PR,21,30
B07410,22,55
B07410PR,22,55
B07411,22,5
B07411PR,22,5
B07412,22,20
B07412PR,22,20
B07413,22,15
B07413PR,22,15
B08006,23,51
B08007,23,15
B08008,23,15
B08009,23,15
B08011,23,45
B08012,23,39
B08013,23,3
B08014,23,21
B08015,23,3
B08016,23,23
B08017,24,23
B08018,24,8
B08101,24,56
B08103,24,7
B08105A,24,7
B08105B,24,7
B08105C,24,7
B08105D,24,7
B08105E,24,7
B08105F,24,7
B08105G,24,7
B08105H,24,7
B08105I,24,7
B08111,24,35
B08113,25,56
B08119,25,63
B08121,25,7
B08122,25,28
B08124,25,49
B08126,26,105
B08128,26,70
B08130,26,31
B08131,26,5
B08132,27,90
B08133,27,15
B08134,27,120
B08135,27,10
B08136,28,12
B08137,28,21
B08141,28,35
B08201,28,30
B08202,28,22
B08203,28,30
B08301,28,21
B08302,28,15
B08303,28,13
B08406,29,51
B08412,29,39
B08501,29,56
B08503,29,7
B08505A,29,7
B08505B,29,7
B08505C,29,7
B08505D,29,7
B08505E,29,7
B08505F,29,7
B08505G,29,7
B08505H,29,7
B08505I,29,7
B08511,30,35
B08513,30,56
B08519,30,63
B08521,30,7
B08522,30,28
B08524,30,49
B08526,31,105
B08528,31,70
B08532,32,90
B08534,32,120
B08536,32,12
B08537,32,21
B08541,33,35
B08601,33,21
B08602,33,15
B08603,33,13
B08604,33,1
B09001,34,10
B09002,34,20
B09005,34,6
B09008,34,12
B09010,34,13
B09018,34,8
B09019,34,385
B09020,34,215
B10001,35,45
B10002,35,55
B10010,35,35
B10050,35,105
B10051,35,115
B10051A,35,75
B10051B,35,75
B10051C,35,75
B10051D,35,75
B10051E,35,75
B10051F,35,75
B10051G,35,75
B10051H,35,75
B10051I,35,75
B10052,35,115
B10053,35,115
B10054,35,175
B10056,35,115
B10057,35,115
B10058,35,115
B10059,35,115
B10060,35,165
B10061,35,115
B10063,35,75
B11001,36,95
B11001A,36,95
B11001B,36,95
B11001C,36,95
B11001D,36,95
B11001E,36,95
B11001F,36,95
B11001G,36,95
B11001H,36,95
B11001I,36,95
B11002,36,125
B11002A,36,125
B11002B,36,125
B11002C,36,125
B11002D,36,125
B11002E,36,125
B11002F,36,125
B11002G,36,125
B11002H,36,125
B11002I,36,125
B11003,36,205
B11004,37,205
B11005,37,195
B11006,37,155
B11007,37,115
B11009,37,75
B11010,37,155
B11011,37,195
B11012,37,155
B11013,37,65
B11014,37,115
B11015,37,35
B11016,37,165
B11017,37,35
B12001,38,195
B12002,38,1875
B12002A,38,135
B12002B,38,135
B12002C,38,135
B12002D,39,135
B12002E,39,135
B12002F,39,135
B12002G,39,135
B12002H,39,135
B12002I,39,135
B12005,39,165
B12006,39,565
B12007,39,25
B12007A,39,25
B12007B,39,25
B12007C,39,25
B12007D,39,25
B12007E,39,25
B12007F,39,25
B12007G,39,25
B12007H,39,25
B12007I,39,25
B12501,39,115
B12502,39,115
B12503,39,115
B12504,39,95
B12505,39,135
B13001,40,95
B13002,40,195
B13002A,40,75
B13002B,40,75
B13002C,40,75
B13002D,40,75
B13002E,40,75
B13002F,40,75
B13002G,40,75
B13002H,40,75
B13002I,40,75
B13004,40,115
B13008,40,155
B13010,40,195
B13012,40,155
B13014,40,275
B13015,40,155
B13016,40,175
B14001,41,105
B14002,41,495
B14003,41,575
B14004,41,335
B14005,41,295
B14006,41,215
B14007,41,195
B14007A,41,195
B14007B,42,195
B14007C,42,195
B14007D,42,195
B14007E,42,195
B14007F,42,195
B14007G,42,195
B14007H,42,195
B14007I,42,195
B15001,43,835
B15002,43,355
B15003,43,255
C15002A,43,115
C15002B,43,115
C15002C,43,115
C15002D,43,115
C15002E,43,115
C15002F,43,115
C15002G,43,115
C15002H,43,115
C15002I,43,115
B16001,44,1195
B16002,44,145
B16003,44,125
B16004,44,675
B16005,45,455
B16005A,45,115
B16005B,45,115
B16005C,45,115
B16005D,45,115
B16005E,45,115
B16005F,45,115
B16005G,45,115
B16005H,45,115
B16005I,45,115
B16006,45,85
B16007,45,195
B16008,45,535
B16009,46,275
B16010,46,535
B17001,47,595
B17001A,47,595
B17001B,47,595
B17001C,47,595
B17001D,48,595
B17001E,48,595
B17001F,48,595
B17001G,48,595
B17001H,49,595
B17001I,49,595
B17003,49,235
B17004,49,195
B17005,49,235
B17006,49,295
C17002,49,85
B17007,50,435
B17008,50,35
B17009,50,215
B17010,50,415
B17010A,50,415
B17010B,50,415
B17010C,50,415
B17010D,51,415
B17010E,51,415
B17010F,51,415
B17010G,51,415
B17010H,51,415
B17010I,52,415
B17011,52,55
B17012,52,355
B17013,52,355
B17014,52,355
B17015,52,475
B17016,52,475
B17017,53,595
B17018,53,355
B17019,53,235
B17020A,53,175
B17020B,53,175
B17020C,53,175
B17020D,53,175
B17020E,53,175
B17020F,53,175
B17020G,53,175
B17020H,54,175
B17020I,54,175
B17021,54,355
B17022,54,815
B17023,54,355
B17024,55,1315
B17025,55,155
B17026,55,135
B18101,56,395
B18101A,56,105
B18101B,56,105
B18101C,56,105
B18101D,56,105
B18101E,56,105
B18101F,56,105
B18101G,56,105
B18101H,56,105
B18101I,56,105
B18102,56,395
B18103,56,395
B18104,56,335
B18105,57,335
B18106,57,335
B18107,57,275
B18135,57,345
B18140,57,75
C18108,57,135
C18120,57,115
C18121,57,105
C18130,57,225
C18131,57,165
B19001,58,175
B19001A,58,175
B19001B,58,175
B19001C,58,175
B19001D,58,175
B19001E,58,175
B19001F,58,175
B19001G,58,175
B19001H,58,175
B19001I,58,175
B19013,58,1
B19013A,58,1
B19013B,58,1
B19013C,58,1
B19013D,58,1
B19013E,58,1
B19013F,58,1
B19013G,58,1
B19013H,58,1
B19013I,58,1
B19019,58,85
B19025,58,1
B19025A,58,1
B19025B,58,1
B19025C,58,1
B19025D,58,1
B19025E,58,1
B19025F,58,1
B19025G,58,1
B19025H,58,1
B19025I,58,1
B19037,59,695
B19037A,59,695
B19037B,59,695
B19037C,60,695
B19037D,60,695
B19037E,60,695
B19037F,61,695
B19037G,61,695
B19037H,61,695
B19037I,62,695
B19049,62,55
B19050,62,55
B19051,62,35
B19052,62,35
B19053,62,35
B19054,62,35
B19055,62,35
B19056,62,35
B19057,62,35
B19058,62,35
B19059,62,35
B19060,62,35
B19061,62,1
B19062,62,1
B19063,62,1
B19064,62,1
B19065,62,1
B19066,62,1
B19067,62,1
B19069,62,1
B19070,62,1
B19080,62,55
B19081,62,65
B19082,62,65
B19083,62,1
B19101,62,175
B19101A,62,175
B19101B,62,175
B19101C,62,175
B19101D,62,175
B19101E,62,175
B19101F,63,175
B19101G,63,175
B19101H,63,175
B19101I,63,175
B19113,63,1
B19113A,63,1
B19113B,63,1
B19113C,63,1
B19113D,63,1
